START_WHITE,START_BLACK ,START_RED,ALBEDO_WHITE,ALBEDO_BLACK,ALBEDO_RED,ALBEDO_GROUND,LUMINOSITY,SENCERIO
0.2,0.2,0.2,0.75,0.25,0.5,0.4,0.8,STABLE
TICK,WHITE_DAISY_POPULATION,BLACK_DAISY_POPULATION,RED_DAISY_POPULATION,TOTAL_POPULATION,GLOBAL_TEMPERATURE
0,168,168,168,504,6.8171050605415635
1,162,307,203,672,10.225657590812329
2,156,415,234,805,13.051494101792533
3,147,446,240,833,15.339121253741519
4,140,453,242,835,17.042436311903572
5,134,458,243,835,18.19865648965024
6,126,465,246,837,19.037064476141566
7,120,476,242,838,19.785992021663482
8,115,482,241,838,20.5396380917157
9,106,489,238,833,21.173464615940166
10,101,498,239,838,21.93146433424576
11,93,509,235,837,22.571494310807914
12,85,515,237,837,23.345642546546042
13,78,517,238,833,24.06520286444518
14,77,521,242,840,24.69410062493997
15,70,527,241,838,25.034974389255062
16,58,536,242,836,25.537365710776868
17,53,536,246,835,26.311919814527524
18,48,542,249,839,26.837315955927984
19,38,548,250,836,27.307759229937144
20,31,552,249,832,27.96273258860999
21,22,561,252,835,28.603069859873525
22,18,570,249,837,29.30954137030154
23,11,573,249,833,29.93559005373144
24,8,578,249,835,30.53959849218254
25,2,577,255,834,31.001788755249727
26,2,486,277,765,31.37429738472808
27,3,434,321,758,30.42040606868584
28,3,438,359,800,28.867443757432156
29,3,443,367,813,27.6612165807295
30,3,445,373,821,27.007346039192015
31,2,442,383,827,26.625627187026133
32,2,441,389,832,26.32044175014677
33,2,436,401,839,26.084409679154266
34,2,428,407,837,25.7708591673967
35,2,424,414,840,25.463781092935285
36,2,416,418,836,25.1858323605237
37,2,413,425,840,24.921184318679888
38,2,412,423,837,24.67400252629572
39,2,411,424,837,24.565488849329817
40,2,406,431,839,24.489365515655898
41,2,398,434,834,24.31734222991956
42,1,396,437,834,24.117971482885746
43,1,396,443,840,23.99971402259755
44,1,390,450,841,23.866697863619194
45,1,386,448,835,23.65667624151205
46,1,380,459,840,23.53808687852896
47,1,373,464,838,23.28602036852999
48,1,371,467,839,23.031550790138702
49,1,366,469,836,22.8482684390888
50,1,367,468,836,22.684238502026275
51,1,352,466,819,22.62409002868598
52,0,337,465,802,22.475366079182102
53,0,336,483,819,22.307515295207054
54,0,333,498,831,21.99237569299827
55,0,325,506,831,21.621431548652627
56,0,323,515,838,21.26102751495233
57,0,316,519,835,20.950890507413703
58,0,311,519,830,20.679700251724963
59,0,313,523,836,20.496345505287792
60,0,309,528,837,20.374513693616773
61,0,308,530,838,20.21381723554524
62,0,305,533,838,20.099287939846157
63,0,302,534,836,19.97642380642381
64,0,304,536,840,19.87402139708454
65,0,301,537,838,19.81729489690733
66,0,299,535,834,19.747961304190635
67,0,297,537,834,19.718819803339894
68,0,295,544,839,19.66051606253269
69,0,293,548,841,19.526058344385323
70,0,288,549,837,19.390467351985045
71,0,283,551,834,19.262597665719742
72,0,282,556,838,19.126274061049546
73,0,281,557,838,18.986987477633967
74,0,282,556,838,18.89547769073527
75,0,282,556,838,18.871589292476862
76,0,272,548,820,18.859645093347666
77,0,264,544,808,18.856670328376413
78,0,261,551,812,18.828025842031753
79,0,265,565,830,18.698845827397133
80,0,269,568,837,18.50005951434089
81,0,266,566,832,18.401930338269892
82,0,264,571,835,18.348839122023485
83,0,269,572,841,18.241616809101266
84,0,266,574,840,18.223450699760587
85,0,263,573,836,18.161082730989836
86,0,262,574,836,18.11355754692117
87,0,262,575,837,18.067928459695885
88,0,261,576,837,18.03279934461086
89,0,259,578,837,17.993368291877424
90,0,262,576,838,17.929919775128834
91,0,262,577,839,17.951480430854957
92,0,260,576,836,17.949946187245672
93,0,261,573,834,17.94238978947626
94,0,262,576,838,17.985107228727202
95,0,263,576,839,17.97907415765416
96,0,263,577,840,17.985609545836184
97,0,264,572,836,17.976562668454836
98,0,268,570,838,18.043164010844563
99,0,265,569,834,18.139301519858446
100,0,269,570,839,18.17102907468205
101,0,269,560,829,18.212785975495734
102,0,264,553,817,18.356810140626305
103,0,257,553,810,18.46726460490535
104,0,262,562,824,18.455628371014967
105,0,261,566,827,18.38673872941123
106,0,267,567,834,18.293483699001296
107,0,268,566,834,18.291853154635355
108,0,268,565,833,18.31290437764331
109,0,270,568,838,18.33574456061968
110,0,273,562,835,18.32932478512788
111,0,277,558,835,18.428658097371883
112,0,279,559,838,18.565790734257597
113,0,280,558,838,18.64114632866525
114,0,280,557,837,18.700690621059962
115,0,279,557,836,18.742777338729756
116,0,284,556,840,18.754268773846015
117,0,281,552,833,18.820088681469382
118,0,284,552,836,18.873601150014835
119,0,287,547,834,18.929013155443258
120,0,292,547,839,19.046947786675002
121,0,298,540,838,19.153674720883703
122,0,300,538,838,19.350551730606032
123,0,299,539,838,19.49272322584908
124,0,300,538,838,19.541942478279662
125,0,297,540,837,19.588418599685877
126,0,288,543,831,19.558371746288568
127,0,301,527,828,19.420437291705714
128,0,307,511,818,19.67267821631357
129,0,307,515,822,20.05314336448679
130,0,314,513,827,20.194117652683925
131,0,316,519,835,20.356097405757215
132,0,319,514,833,20.38230370089668
133,0,319,517,836,20.48563547698398
134,0,321,515,836,20.500357650610546
135,0,320,516,836,20.55145172780568
136,0,316,522,838,20.555132271212337
137,0,315,523,838,20.444877419207156
138,0,316,524,840,20.367883498013637
139,0,313,522,835,20.32662388966308
140,0,314,523,837,20.301967457276856
141,0,312,527,839,20.28687659332993
142,0,311,527,838,20.210969028029854
143,0,309,524,833,20.16346332166126
144,0,309,529,838,20.15755033545696
145,0,311,527,838,20.09302098499291
146,0,311,524,835,20.104489300142788
147,0,310,529,839,20.147167172134797
148,0,308,527,835,20.097381327050417
149,0,309,530,839,20.078013700015827
150,0,304,532,836,20.040938095799984
151,0,302,532,834,19.950011532154548
152,0,288,530,818,19.885444402894652
153,0,281,536,817,19.74406304914959
154,0,297,528,825,19.53262147741289
155,0,298,528,826,19.678248042820528
156,0,302,528,830,19.76061324924285
157,0,309,529,838,19.840003547328333
158,0,308,525,833,19.934247590928624
159,0,306,532,838,20.021075974899688
160,0,305,529,834,19.959184319141503
161,0,307,532,839,19.955630281960936
162,0,309,528,837,19.93601339639068
163,0,311,527,838,19.994567086932182
164,0,311,525,836,20.055262351112418
165,0,307,530,837,20.11023912614726
166,0,308,527,835,20.0379469614286
167,0,317,523,840,20.048296517204932
168,0,316,519,835,20.188696894449656
169,0,320,518,838,20.298603445242925
170,0,317,520,837,20.404078986986192
171,0,320,518,838,20.403531843757403
172,0,322,514,836,20.4565431862434
173,0,324,514,838,20.551410990813036
174,0,325,514,839,20.617948740535017
175,0,322,513,835,20.6607695391145
176,0,325,504,829,20.665838738720954
177,0,322,503,825,20.807860252931263
178,0,326,491,817,20.86252981035303
179,0,315,504,819,21.075847141606655
180,0,325,511,836,20.917345217188455
181,0,317,514,831,20.84741149185836
182,0,306,528,834,20.699085525027726
